site_key,domain,category_labels,platform,access_profile,cdn,crawl_delay,sitemap_kind,status,est_urls,earliest_year,est_days,wave,exclusion_reason,shared_with,universities,tabs,source_rows,sample_url,notes,workbook_done
,middleburycampus.com,Liberal Arts,snworks,open,none,10.0,other,recon_done,,,,,,,Middlebury College,Liberal Arts,Liberal Arts:18,https://www.middleburycampus.com/,,
,thesophian.com,Liberal Arts,wordpress,open,none,,wp_core,recon_done,2112,,0.1,,,,Smith College,Liberal Arts,Liberal Arts:19,https://thesophian.com/,,
,miscellanynews.org,Liberal Arts,possible_university_newsroom,waf_browser_ua,none,,,recon_done,,,,,,,Vassar College,Liberal Arts,Liberal Arts:20,https://miscellanynews.org/,,
,wesleyanargus.com,Liberal Arts,wordpress,open,none,,wp_core,recon_done,21917,2004,1.5,,,,Wesleyan University,Liberal Arts,Liberal Arts:21,https://wesleyanargus.com/,,
,ringtumphi.net,Liberal Arts,sno,cloudflare,cloudflare,,yoast,recon_done,2658,2014,0.4,,,,Washington and Lee Univeristy,Liberal Arts,Liberal Arts:22,https://ringtumphi.net/,,
,thecolgatemaroonnews.com,Liberal Arts,sno,cloudflare,cloudflare,,wp_core,recon_done,15458,2018,2.1,,,,Colgate Univeristy,Liberal Arts,Liberal Arts:23,https://thecolgatemaroonnews.com/,,
,thecollegianur.com,Liberal Arts,unknown,waf_browser_ua,aws_elb,,,recon_done,,,,,,,Univeristy of Richmond,Liberal Arts,Liberal Arts:24,https://www.thecollegianur.com/,,
,thebatesstudent.com,Liberal Arts,sno,cloudflare,cloudflare,,wp_core,recon_done,2293,2012,0.3,,,,Bates College,Liberal Arts,Liberal Arts:25,https://thebatesstudent.com/,,
,colbyecho.news,Liberal Arts,wordpress,open,none,,other,recon_done,,,,,,,Colby College,Liberal Arts,Liberal Arts:26,https://colbyecho.news/,,
,bicollegenews.com,Liberal Arts,possible_university_newsroom,waf_browser_ua,cloudflare,,,recon_done,,,,,,Bryn Mawr College,Haverford College | Bryn Mawr College,Liberal Arts,Liberal Arts:27 | Liberal Arts:31,https://bicollegenews.com/about/,,
,hcspire.com,Liberal Arts,wordpress,open,none,,other,recon_done,,,,,,,College of the Holy Cross,Liberal Arts,Liberal Arts:28,https://hcspire.com/,,
,themacweekly.com,Liberal Arts,sno,cloudflare,cloudflare,,yoast,recon_done,9418,2006,1.3,,,,Macalester College,Liberal Arts,Liberal Arts:29,https://themacweekly.com/,,
,mountholyokenews.com,Liberal Arts,unknown,open,none,,single,recon_done,10538,,0.7,,,,Mount Holyoke College,Liberal Arts,Liberal Arts:30,https://www.mountholyokenews.com/,,
,bucknellian.net,Liberal Arts,sno,cloudflare,cloudflare,,yoast,recon_done,11585,2011,1.6,,,,Bucknell University,Liberal Arts,Liberal Arts:32,https://bucknellian.net/,,
,thecatalystnews.com,Liberal Arts,wordpress,open,none,,other,recon_done,,,,,,,Colorado College,Liberal Arts,Liberal Arts:33,https://thecatalystnews.com/,,
,lafayettestudentnews.com,Liberal Arts,sno,cloudflare,cloudflare,6.0,wp_core,recon_done,9062,2026,1.3,,,,Lafayette College,Liberal Arts,Liberal Arts:34,https://lafayettestudentnews.com/,,
,denisonian.com,Liberal Arts,wordpress,open,none,,yoast,recon_done,3697,2024,0.3,,,,Denison University,Liberal Arts,Liberal Arts:35,https://denisonian.com/,,
,the-college-reporter.com,Liberal Arts,wordpress,open,none,10.0,yoast,recon_done,3583,2012,0.4,,,,Franklin & Marshell College,Liberal Arts,Liberal Arts:36,https://www.the-college-reporter.com/,,
